         1             1    0.007876000760453    
         1             2    0.500000000000000    
         1             3    0.007876000760453    
         1             4    0.500000000000000    
         1             5    0.000000000000000    
         1             6    0.984247998479093    
         2             1    0.082946454853158    
         2             2    0.663115544800108    
         2             3    0.082946454853158    
         2             4    0.663115544800108    
         2             5    0.341983090987152    
         2             6    0.165892909706316    
         3             1    0.412728666286440    
         3             2    0.412728666286440    
         3             3    0.412728666286440    
         3             4    0.412728666286440    
         3             5    0.174542667427120    
         3             6    0.174542667427120    
         4             1    0.663115544686796    
         4             2    0.082946454892215    
         4             3    0.663115544686796    
         4             4    0.082946454892215    
         4             5    0.165892909813992    
         4             6    0.341983091027986    
         5             1    0.500000000004979    
         5             2    0.007876000762745    
         5             3    0.500000000004979    
         5             4    0.007876000762745    
         5             5    0.984247998454113    
         5             6    0.000000000010439    
         6             1    0.125000000002344    
         6             2    0.624999999964844    
         6             3    0.125000000002344    
         6             4    0.624999999964844    
         6             5    0.250000000060938    
         6             6    0.250000000004688    
         7             1    0.250000000000149    
         7             2    0.249999999999950    
         7             3    0.250000000000150    
         7             4    0.249999999999950    
         7             5    0.499999999999900    
         7             6    0.499999999999900    
         8             1    0.625000000035006    
         8             2    0.124999999997706    
         8             3    0.625000000035006    
         8             4    0.124999999997706    
         8             5    0.249999999995412    
         8             6    0.249999999939162    
         9             1    0.333333333333333    
         9             2    0.333333333333333    
         9             3    0.333333333333333    
         9             4    0.333333333333333    
         9             5    0.333333333333333    
         9             6    0.333333333333333    
        10             1    0.492123999239546    
        10             2    0.500000000000000    
        10             3    0.492123999239546    
        10             4    0.500000000000000    
        10             5    0.000000000000000    
        10             6    0.015752001520907    
        11             1    0.292053545144498    
        11             2    0.211884455235049    
        11             3    0.292053545144498    
        11             4    0.211884455235049    
        11             5    0.408016908951909    
        11             6    0.584107090288997    
        12             1    0.170604667046893    
        12             2    0.170604667046893    
        12             3    0.170604667046893    
        12             4    0.170604667046893    
        12             5    0.658790665906214    
        12             6    0.658790665906214    
        13             1    0.211884455273259    
        13             2    0.292053545107969    
        13             3    0.211884455273259    
        13             4    0.292053545107969    
        13             5    0.584107090215301    
        13             6    0.408016909022243    
        14             1    0.499999999999810    
        14             2    0.492123999239414    
        14             3    0.499999999999810    
        14             4    0.492123999239414    
        14             5    0.015752001521282    
        14             6    0.000000000000269    
        15             1    0.333333333333334    
        15             2    0.333333333333334    
        15             3    0.333333333333334    
        15             4    0.333333333333334    
        15             5    0.333333333333333    
        15             6    0.333333333333333    
